Part Name,Color,Quantity,Part ID,Color Code
"Technic Gear  8 Tooth Reinforced","Light Grey",1,10928.dat,7
"Brick  2 x  6","Red",2,2456.dat,4
"Technic Pin with Friction and Slots","Black",2,2780.dat,0
"Brick  2 x  4","Red",1,3001.dat,4
"Brick  2 x  4","Yellow",2,3001.dat,14
"Brick  2 x  4","White",1,3001.dat,15
"Brick  2 x  2","Yellow",4,3003.dat,14
"Brick  1 x  1 with Eye with Pupil Highlight Pattern","White",2,3005pe4.dat,15
"Brick  1 x  6","Yellow",1,3009.dat,14
"Plate  2 x  4","Green",1,3020.dat,2
"Technic Plate  2 x  6 with Holes","White",2,32001.dat,15
"Slope Brick 33  3 x  2","Yellow",1,3298.dat,14
"Plate  1 x  8","White",1,3460.dat,15
"Technic Gear 24 Tooth with 3 Axleholes","Black",2,3648a.dat,0
"Technic Brick  1 x  2 with Hole","Red",3,3700.dat,4
"Slope Brick 33  3 x  2 Inverted without Ribs between Studs","Yellow",1,3747a.dat,14
"Technic Brick  1 x  6 with Holes","Red",1,3894.dat,4
"Brick  8 x 16","Light Grey",1,4204.dat,7
"=Technic Axle Pin","Very Light Orange",2,6562.dat,68
"Plate  1 x  6 with Light Grey Trapezoid Pattern","White",1,3666py0.dat,15
"Electric Servo Motor Brick  5 x  2 x  3","Light Grey",1,geekservo1.dat,7
