Part Name,Color,Quantity,Part ID,Color Code
"=Technic Gear 24 Tooth with Single Axle Hole","Black",1,24505.dat,0
"Brick  2 x  6","Red",2,2456.dat,4
"Brick  1 x  1","White",2,3005.dat,15
"Brick  1 x  6","Yellow",1,3009.dat,14
"Technic Brick  1 x  2 with Axlehole with Open Sides and Stud Blocker","Dark Grey",1,32064a.dat,8
"Technic Pin","Black",4,3673.dat,0
"Technic Brick  1 x  2 with Hole","Red",4,3700.dat,4
"Technic Brick  1 x 16 with Holes","Red",1,3703.dat,4
"Plate  1 x  4","White",2,3710.dat,15
"Brick  8 x 16","Dark Grey",1,4204.dat,8
"Electric Servo Motor Brick  5 x  2 x  3","Light Grey",1,geekservo1.dat,7
